Title,Price,Availability,Rating,UPC,Price (Excl. Tax),Price (Incl. Tax),Tax,Number of Reviews
A Light in the Attic,£51.77,In,Three,a897fe39b1053632,£51.77,£51.77,£0.00,0
Tipping the Velvet,£53.74,In,One,90fa61229261140a,£53.74,£53.74,£0.00,0
Soumission,£50.10,In,One,6957f44c3847a760,£50.10,£50.10,£0.00,0
Sharp Objects,£47.82,In,Four,e00eb4fd7b871a48,£47.82,£47.82,£0.00,0
Sapiens: A Brief History of Humankind,£54.23,In,Five,4165285e1663650f,£54.23,£54.23,£0.00,0
The Requiem Red,£22.65,In,One,f77dbf2323deb740,£22.65,£22.65,£0.00,0
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In,Four,2597b5a345f45e1b,£33.34,£33.34,£0.00,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In,Three,e72a5dfc7e9267b2,£17.93,£17.93,£0.00,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In,Four,e10e1e165dc8be4a,£22.60,£22.60,£0.00,0
The Black Maria,£52.15,In,One,1dfe412b8ac00530,£52.15,£52.15,£0.00,0
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In,Two,0312262ecafa5a40,£13.99,£13.99,£0.00,0
Shakespeare's Sonnets,£20.66,In,Four,30a7f60cd76ca58c,£20.66,£20.66,£0.00,0
Set Me Free,£17.46,In,Five,ce6396b0f23f6ecc,£17.46,£17.46,£0.00,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In,Five,3b1c02bac2a429e6,£52.29,£52.29,£0.00,0
Rip it Up and Start Again,£35.02,In,Five,a34ba96d4081e6a4,£35.02,£35.02,£0.00,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In,Three,deda3e61b9514b83,£57.25,£57.25,£0.00,0
Olio,£23.88,In,One,feb7cc7701ecf901,£23.88,£23.88,£0.00,0
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In,One,e30f54cea9b38190,£37.59,£37.59,£0.00,0
Libertarianism for Beginners,£51.33,In,Two,a18a4f574854aced,£51.33,£51.33,£0.00,0
It's Only the Himalayas,£45.17,In,Two,a22124811bfa8350,£45.17,£45.17,£0.00,0
In Her Wake,£12.84,In,One,23356462d1320d61,£12.84,£12.84,£0.00,0
How Music Works,£37.32,In,Two,327f68a59745c102,£37.32,£37.32,£0.00,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In,Three,5674a18a29a43ced,£30.52,£30.52,£0.00,0
Chase Me (Paris Nights #2),£25.27,In,Five,c2e46a2ee3b4a322,£25.27,£25.27,£0.00,0
Black Dust,£34.53,In,Five,00bfed9e18bb36f3,£34.53,£34.53,£0.00,0
Birdsong: A Story in Pictures,£54.64,In,Three,9528d0948525bf5f,£54.64,£54.64,£0.00,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In,Three,c7d160c2c0de586f,£22.50,£22.50,£0.00,0
Aladdin and His Wonderful Lamp,£53.13,In,Three,904208d6aa64b655,£53.13,£53.13,£0.00,0
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In,Five,4c28def39d850cdf,£40.30,£40.30,£0.00,0
Wall and Piece,£44.18,In,Four,ccd9ffa25efabdea,£44.18,£44.18,£0.00,0
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,In,Five,6258a1f6a6dcfe50,£17.66,£17.66,£0.00,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In,Three,3c039985229453bf,£31.05,£31.05,£0.00,0
The Elephant Tree,£23.82,In,Five,5dada2b7be26bd03,£23.82,£23.82,£0.00,0
The Bear and the Piano,£36.89,In,One,9f6568e9c95f60b0,£36.89,£36.89,£0.00,0
Sophie's World,£15.94,In,Five,6be3beb0793a53e7,£15.94,£15.94,£0.00,0
Penny Maybe,£33.29,In,Three,668fe56b17cfcd4f,£33.29,£33.29,£0.00,0
Maude (1883-1993):She Grew Up with the country,£18.02,In,Two,094b269567e1c300,£18.02,£18.02,£0.00,0
"In a Dark, Dark Wood",£19.63,In,One,19ed25f4641d5efd,£19.63,£19.63,£0.00,0
Behind Closed Doors,£52.22,In,Four,be5cc846f45496fb,£52.22,£52.22,£0.00,0
You can't bury them all: Poems,£33.63,In,Two,55f9da0c5eea2e10,£33.63,£33.63,£0.00,0
Slow States of Collapse: Poems,£57.31,In,Three,b4fd5943413e089a,£57.31,£57.31,£0.00,0
Reasons to Stay Alive,£26.41,In,Two,c8f7f0cb1abb9cac,£26.41,£26.41,£0.00,0
Private Paris (Private #10),£47.61,In,Five,b12b89017878a60d,£47.61,£47.61,£0.00,0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,In,Five,c27f6e1f185b0383,£23.11,£23.11,£0.00,0
Without Borders (Wanderlove #1),£45.07,In,Two,acddfeab2a407640,£45.07,£45.07,£0.00,0
When We Collided,£31.77,In,One,3ecb690d1542c568,£31.77,£31.77,£0.00,0
"We Love You, Charlie Freeman",£50.27,In,Five,8d455c7539795d2a,£50.27,£50.27,£0.00,0
Untitled Collection: Sabbath Poems 2014,£14.27,In,Four,657fe5ead67a7767,£14.27,£14.27,£0.00,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,In,Four,d170b5a0da46380e,£44.18,£44.18,£0.00,0
Unicorn Tracks,£18.78,In,Three,7ae099f3898e0209,£18.78,£18.78,£0.00,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,In,One,9a9d6e9bc555731e,£25.52,£25.52,£0.00,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,In,One,09555be379ad9253,£16.28,£16.28,£0.00,0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,In,Three,7858914fad68493c,£31.12,£31.12,£0.00,0
This One Summer,£19.49,In,Four,51653ef291ab7ddc,£19.49,£19.49,£0.00,0
Thirst,£17.27,In,Five,709822d0b5bcb7f4,£17.27,£17.27,£0.00,0
The Torch Is Passed: A Harding Family Story,£19.09,In,One,4eed62cf5f8d8edf,£19.09,£19.09,£0.00,0
The Secret of Dreadwillow Carse,£56.13,In,One,b5ea0b5dabed25a8,£56.13,£56.13,£0.00,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,In,One,142d767a56a9254d,£56.41,£56.41,£0.00,0
The Past Never Ends,£56.50,In,Four,5ee94540d0749ea0,£56.50,£56.50,£0.00,0
The Natural History of Us (The Fine Art of Pretending #2),£45.22,In,Three,cedf82b5086e4691,£45.22,£45.22,£0.00,0
